,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished,rent_range,sq_ft_range
1269,https://www.apartments.com/avenue-64-emeryville-ca/kr6sjf8/,Avenue 64,Emeryville,2377.0,1,1.0,789.0,74.0,1,12,0,1,1,1,2,1,1,0,0,0,0,0
1271,https://www.apartments.com/avenue-64-emeryville-ca/kr6sjf8/,Avenue 64,Emeryville,2959.0,2,2.0,1073.0,74.0,1,12,0,1,1,1,2,1,1,0,0,0,0,0
1273,https://www.apartments.com/the-courtyards-at-65th-street-emeryville-ca/rjd9021/,The Courtyards at 65th Street,Emeryville,2253.0,1,1.0,799.0,87.0,1,12,0,1,1,1,2,0,1,0,0,0,0,0
1274,https://www.apartments.com/the-courtyards-at-65th-street-emeryville-ca/rjd9021/,The Courtyards at 65th Street,Emeryville,2563.0,1,1.0,846.0,87.0,1,12,0,1,1,1,2,0,1,0,0,0,0,0
1275,https://www.apartments.com/the-courtyards-at-65th-street-emeryville-ca/rjd9021/,The Courtyards at 65th Street,Emeryville,2733.0,2,2.0,961.0,87.0,1,12,0,1,1,1,2,0,1,0,0,0,0,0
1277,https://www.apartments.com/the-courtyards-at-65th-street-emeryville-ca/rjd9021/,The Courtyards at 65th Street,Emeryville,3003.0,2,2.0,1165.0,87.0,1,12,0,1,1,1,2,0,1,0,0,0,0,0
1278,https://www.apartments.com/santa-palmia-at-palm-valley-san-jose-ca/dzvvywk/,Santa Palmia at Palm Valley,San Jose,2098.0,1,1.0,698.0,45.0,1,12,0,1,1,1,2,1,1,0,1,0,0,0
1284,https://www.apartments.com/marquis-san-jose-ca/qksmzqz/,Marquis,San Jose,2222.0,1,1.0,715.0,80.0,1,12,0,1,1,1,12,1,1,0,1,0,0,0
1285,https://www.apartments.com/marquis-san-jose-ca/qksmzqz/,Marquis,San Jose,2222.0,1,1.0,733.0,80.0,1,12,0,1,1,1,12,1,1,0,1,0,0,0
1288,https://www.apartments.com/palma-sorrento-at-palm-valley-san-jose-ca/2njxhx9/,Palma Sorrento at Palm Valley,San Jose,2932.0,2,2.0,1258.0,22.0,1,12,0,1,1,0,2,1,1,0,1,0,0,0
1290,https://www.apartments.com/palma-sorrento-at-palm-valley-san-jose-ca/2njxhx9/,Palma Sorrento at Palm Valley,San Jose,3348.0,3,2.0,1264.0,22.0,1,12,0,1,1,0,2,1,1,0,1,0,0,0
1294,https://www.apartments.com/sage-at-cupertino-cupertino-ca/36tbd4g/,Sage at Cupertino,Cupertino,2726.0,2,2.0,890.0,52.0,1,12,0,1,1,1,2,1,1,0,1,0,0,0
1295,https://www.apartments.com/sage-at-cupertino-cupertino-ca/36tbd4g/,Sage at Cupertino,Cupertino,2576.0,2,1.0,865.0,52.0,1,12,0,1,1,1,2,1,1,0,1,0,0,0
1296,https://www.apartments.com/cbc-and-the-sweeps-goleta-ca/v9btqzd/,CBC and The Sweeps,Goleta,1790.0,1,1.0,580.0,53.0,1,12,0,1,0,0,4,1,0,0,0,0,0,0
1298,https://www.apartments.com/cbc-and-the-sweeps-goleta-ca/v9btqzd/,CBC and The Sweeps,Goleta,2787.0,2,2.0,810.0,53.0,1,12,0,1,0,0,4,1,0,0,0,0,0,0
1303,https://www.apartments.com/the-reserve-apartment-homes-bakersfield-ca/2lc3qb9/,The Reserve Apartment Homes,Bakersfield,1665.0,2,2.0,1053.0,15.0,1,12,0,1,1,0,7,0,1,1,1,0,0,0
1333,https://www.apartments.com/crescent-village-apartment-homes-san-jose-ca/kb57kc8/,Crescent Village Apartment Homes,San Jose,5285.0,3,2.0,1433.0,40.0,1,12,0,1,1,1,5,1,1,1,1,0,0,0
1362,https://www.apartments.com/monticello-apartment-homes-santa-clara-ca/svq6gr4/,Monticello Apartment Homes,Santa Clara,4010.0,2,2.0,1274.0,50.0,1,12,0,1,1,0,2,0,1,1,0,0,0,0
1363,https://www.apartments.com/promenade-at-irvine-spectrum-irvine-ca/2hnsmz9/,Promenade at Irvine Spectrum,Irvine,1985.0,0,1.0,681.0,25.0,1,12,0,1,1,1,1,0,1,1,0,0,0,0
1371,https://www.apartments.com/promenade-at-irvine-spectrum-irvine-ca/2hnsmz9/,Promenade at Irvine Spectrum,Irvine,3015.0,1,1.0,1055.0,25.0,1,12,0,1,1,1,1,0,1,1,0,0,0,0
1372,https://www.apartments.com/promenade-at-irvine-spectrum-irvine-ca/2hnsmz9/,Promenade at Irvine Spectrum,Irvine,2900.0,1,1.0,926.0,25.0,1,12,0,1,1,1,1,0,1,1,0,0,0,0
1373,https://www.apartments.com/promenade-at-irvine-spectrum-irvine-ca/2hnsmz9/,Promenade at Irvine Spectrum,Irvine,2615.0,1,1.0,842.0,25.0,1,12,0,1,1,1,1,0,1,1,0,0,0,0
1378,https://www.apartments.com/promenade-at-irvine-spectrum-irvine-ca/2hnsmz9/,Promenade at Irvine Spectrum,Irvine,3050.0,2,2.0,1130.0,25.0,1,12,0,1,1,1,1,0,1,1,0,0,0,0
1381,https://www.apartments.com/promenade-at-irvine-spectrum-irvine-ca/2hnsmz9/,Promenade at Irvine Spectrum,Irvine,4055.0,2,2.0,1334.0,25.0,1,12,0,1,1,1,1,0,1,1,0,0,0,0
