,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished
7572,https://www.apartments.com/4007-crown-point-dr-san-diego-ca-unit-14/yhtwvls/,4007 Crown Point Dr Unit 14,San Diego,3300.0,2,2.0,913.0,61.0,0,12,0,1,1,0,6,0,1,0,0,0
7573,https://www.apartments.com/5745-friars-rd-san-diego-ca-unit-98/vcwb94f/,5745 Friars Rd Unit 98,San Diego,1975.0,1,1.5,854.0,59.0,0,12,0,1,1,0,6,0,1,0,1,0
7574,https://www.apartments.com/1765-spruce-st-berkeley-ca/t71zp89/,1765 Spruce St,Berkeley,3000.0,2,1.0,980.0,90.0,0,12,0,0,0,0,0,0,1,0,1,1
7575,https://www.apartments.com/1239-foothill-blvd-san-luis-obispo-ca-unit-207/91h5tm7/,1239 Foothill Blvd Unit 207,San Luis Obispo,3800.0,2,2.0,1194.0,61.0,0,12,0,0,0,0,3,0,1,0,1,0
7576,https://www.apartments.com/1130-broad-st-san-luis-obispo-ca-unit-202/cns7eff/,1130 Broad St Unit 202,San Luis Obispo,9500.0,2,2.0,1050.0,96.0,1,12,0,0,0,0,0,0,1,0,1,1
7577,https://www.apartments.com/11927-gorham-ave-los-angeles-ca/pss7t2s/,11927 Gorham Ave,Los Angeles,2595.0,1,1.0,850.0,90.0,1,12,0,0,0,1,4,0,0,0,1,0
7578,https://www.apartments.com/1327-surfwood-ln-san-diego-ca/kzt750b/,1327 Surfwood Ln,San Diego,4100.0,6,4.0,3198.0,9.0,1,12,1,0,0,0,4,0,1,0,0,0
7579,https://www.apartments.com/sunny-san-carlos-home-san-diego-ca/55cry4q/,Sunny San Carlos Home,San Diego,3100.0,3,2.0,1230.0,23.0,1,12,1,0,0,0,4,0,1,0,0,0
7580,https://www.apartments.com/552-canyon-dr-oceanside-ca-unit-32/zgtsqsy/,552 Canyon Dr Unit 32,Oceanside,2150.0,2,2.0,1035.0,61.0,0,12,1,0,0,0,6,0,1,0,0,0
7581,https://www.apartments.com/7832-ivanhoe-ave-san-diego-ca/m48bvwl/,7832 Ivanhoe Ave,San Diego,5600.0,2,2.5,2198.0,94.0,0,12,1,0,0,0,7,0,1,0,1,1
